Date,Worktime,isWorkDay
2022-02-01,8.0,true
2022-02-02,8.0,true
2022-02-03,8.0,true
2022-02-04,8.0,true
2022-02-07,8.0,true
2022-02-08,8.0,true
2022-02-09,8.0,true
2022-02-10,9.25,true
2022-02-11,9.08,true
2022-02-14,6.0,true
2022-02-15,9.75,true
2022-02-16,6.76972,true
2022-02-17,7.0,true
2022-02-18,9.07778,true
2022-02-21,7.80361,true
2022-02-21,0.0024999999441206455,true
2022-02-21,0.8236111402511597,true
2022-02-22,0.04611111059784889,true
2022-02-22,7.898611068725586,true
2022-02-23,0.0027777778450399637,true
2022-02-23,6.362500190734863,true
2022-02-23,0.0033333334140479565,true
2022-02-24,5.426111221313477,true
2022-02-24,2.4980554580688477,true
2022-02-24,1.0133333206176758,true
2022-02-25,8.58388900756836,true
2022-02-28,3.906388888694345951,true
2022-02-28,1.909999966621399,true

